date,category,region,supplier,order_quantity,lead_time_days,transport_time_days,inventory_level,demand_forecast,production_capacity,weather_impact,inventory_coverage_days,capacity_utilization,true_anomaly
2024-07-02,Home Care,Central,Supplier B,6765.709266450403,5.840838759366656,2.644995944164989,9306.368072674115,5873.7465192751915,5921.423876945562,0.0,47.532020876970876,0.9919483288713721,0
2025-03-05,Home Care,North,Supplier A,4372.116785558211,4.644317089742114,3.1491001390491205,10420.70407255423,4044.929701445926,6036.549038605825,0.0,77.28715830707154,0.6700731950618138,0
2024-12-17,Beverages,North,Supplier A,4114.045686705404,3.0686231392069616,2.997689155548239,8030.6382783771305,5631.302354067279,5700.345530002387,0.0,42.782136920299976,0.9878878963438767,0
2024-07-06,Personal Care,North,Supplier E,4908.825766481436,5.870248993911311,3.185403592770843,2584.7698923114353,10670.803138887099,6363.583607491789,0.0,7.266847280384778,1.676854394797997,1
2024-06-01,Personal Care,North,Supplier E,7045.817288088286,4.703103148679496,3.1951103921592394,5868.875465481347,5988.834147325792,5484.4536916655425,0.0,29.39908830887556,1.091965487178191,0
2024-09-26,Snacks,East,Supplier A,5771.038919953255,5.06886201461507,3.304292322675089,10121.921927211662,5184.098331427206,7045.504279016582,0.0,58.574826016610594,0.7358023111087809,0
2024-04-11,Personal Care,West,Supplier C,4095.0853479439893,4.822579561791503,4.388142058076529,8674.20166767084,4125.551340049618,6476.845150313427,0.0,63.07667232350948,0.6369692719687724,0
2024-07-02,Food,South,Supplier C,6455.0605824817685,3.644470500423732,3.0198458786659255,7504.790569032881,4521.618827848193,6174.370559526768,0.0,49.792723721944235,0.7323206121588449,0
2024-07-21,Personal Care,East,Supplier E,3344.9370076668133,5.364250212222989,2.6327133067137134,7147.592320886689,5440.476546050993,7422.657137348595,0.0,39.413416786484355,0.7329553885327856,0
2024-10-22,Snacks,East,Supplier D,7136.559128802724,5.226459031113447,1.990093333830883,9007.744456600443,4350.771458783346,5845.350587053367,0.0,62.11136030886377,0.7443131757434183,0
2025-02-15,Personal Care,South,Supplier A,5856.450680015159,4.574211157085202,2.4023416009047067,8966.47774110704,4819.922836843086,6305.687933782174,0.0,55.80884618671509,0.7643770017575353,0
2024-06-17,Food,South,Supplier E,6763.557440006718,5.471105799862487,3.617674325376455,6655.123379816082,4338.35024776595,6111.340231799604,0.0,46.020650706405014,0.7098852433696754,0
2024-06-29,Beverages,North,Supplier E,3352.201891615965,3.626000452576694,3.3599622533865534,6286.441263648587,6383.205433423692,6398.733846603912,0.0,29.545224554727177,0.9975732053321046,0
2025-03-16,Snacks,East,Supplier A,5169.441830859686,4.730997224116891,2.325006976742503,3401.2686373102783,10639.355898204936,6748.0581835333105,0.0,9.59062372718673,1.576654440260639,1
2024-08-20,Beverages,Central,Supplier A,4866.111073434285,5.026127472935789,4.2321062204996105,7297.663129288465,6116.811558052552,6274.47468830568,0.0,35.79150539474132,0.9748722979874348,0
2024-07-30,Beverages,South,Supplier C,3993.0205265533586,3.2650723678649376,3.163382238830754,6965.321819625866,4688.063431379551,6520.896947657599,0.0,44.57270206501571,0.7189292315167733,0
2024-08-18,Beverages,South,Supplier D,3703.9763797486075,4.942903389163947,3.2301583599401695,10427.138027254348,4437.522617963728,5724.806004826704,0.0,70.4929682051228,0.7751393871202552,0
2025-01-24,Home Care,West,Supplier D,5507.081258759549,5.733645146681296,4.12211258996804,7244.329066610841,4098.752778437283,5896.9249257681,0.0,53.023415596484405,0.6950661285387489,0
2024-12-04,Home Care,Central,Supplier A,5597.731708113624,4.696769075957132,3.8697278604141063,6125.500328075405,6182.149161722795,6819.143780131502,0.0,29.725101260910357,0.9065873020210137,0
2025-02-28,Beverages,Central,Supplier B,6299.9740467257525,4.965885097485655,3.3905687379160803,6209.753838650709,5637.651339631052,6298.4280817646795,0.0,33.04436616183379,0.8950886263119016,0
2025-01-09,Snacks,South,Supplier E,4496.578946673169,5.562344039234167,3.4146069704131277,7724.042598437607,5680.884793356607,6124.161822429094,0.0,40.78964569464775,0.9276183350594962,0
2024-09-29,Food,North,Supplier E,4858.39018984419,4.612199891133727,3.4613925480854335,5266.813815531739,4575.064856807197,5623.377895458241,0.0,34.53599444188399,0.8135794787155028,0
2024-12-23,Food,West,Supplier A,3617.5400750539084,4.702202600455711,2.879516434143992,7909.818929206405,3217.892264167883,6483.298040567475,0.0,73.74223510169455,0.4963356989039832,0
2024-08-29,Personal Care,Central,Supplier B,6540.785811994749,3.823296485467533,3.1433964487720987,5995.6857492776535,3424.8381514133134,5609.26728950877,0.0,52.51943727738001,0.6105678290315958,0
2025-01-29,Snacks,South,Supplier C,5069.548087757243,4.985063222679234,3.2871602470373564,2976.507591466827,10449.160997711951,5461.917072114947,0.0,8.545683980135607,1.9130940400136576,1
2024-04-12,Home Care,Central,Supplier A,5722.5885016201055,4.66515151639522,2.936608702810794,8174.843523862917,4329.593169270298,6057.46287551446,0.0,56.643960789789574,0.7147535623819379,0
2024-11-29,Beverages,West,Supplier A,5757.905396111012,5.499089795053322,2.5172902451422234,11181.535402298665,4226.068835046632,4798.753733235655,0.0,79.37543735376912,0.880659660815126,0
2024-11-12,Personal Care,West,Supplier E,6459.107157301978,5.563459954183239,2.866934799345666,7657.699130746684,5110.633536355762,6305.538358185488,0.0,44.95156467161109,0.8104991590006635,0
2025-03-01,Food,East,Supplier A,4168.6005327325465,5.791209039012881,2.5060336960470395,3302.3842490446195,5712.293846873543,6188.472098370644,0.0,17.343562871080678,0.9230539874903091,0
2024-05-09,Home Care,South,Supplier A,5697.586600347178,4.491739649104869,3.0321862854361155,10186.521800534305,4168.895638262926,5823.59822068207,0.0,73.30374289325295,0.7158625097894644,0
2024-05-19,Home Care,West,Supplier A,4974.991293690959,2.823418914375884,2.1097714239967433,8752.884737715602,3624.95128290944,5868.9409207199815,0.0,72.43864031207397,0.6176499869187205,0
2024-09-07,Beverages,East,Supplier E,7105.677066340631,5.741639746464775,3.1705192552537738,8985.36181844101,4190.275942070046,5940.339547666801,0.0,64.33009622274757,0.7053933379474695,0
2024-09-25,Food,East,Supplier C,4165.635821003983,5.431120964097409,2.1843627522159177,6496.1246153839265,3860.432433703261,5605.436311226329,0.0,50.482359634142966,0.6886943708506242,0
2024-12-17,Snacks,Central,Supplier C,6171.426347763872,4.36470839531391,2.7982634700034974,7935.727916606917,5333.54935433339,6092.286313749147,0.0,44.63666157036298,0.8754594054938898,0
2024-09-27,Home Care,Central,Supplier A,5350.341779228397,5.554940199567337,3.252050537240423,8279.69131270349,4796.302121211071,5875.302534807242,0.0,51.78796771008783,0.8163498122515709,0
2024-09-12,Beverages,East,Supplier E,5297.856094206021,3.5514101974837584,3.395573355756265,7643.269073590852,6492.440305412004,6056.22607664431,0.0,35.31770203825918,1.072027401759314,0
2024-05-11,Snacks,Central,Supplier C,5054.02072604749,6.030240212870275,6.999775429530858,5398.455762119789,5461.216607674436,2925.518108468869,0.0,29.655237010011003,1.8667519410887115,1
2025-03-20,Food,West,Supplier C,6346.665822836787,4.66637544820595,3.1598669572369404,12153.038072388581,6432.470523298349,5823.735663754376,0.0,56.67979990753346,1.1045265263896853,0
2024-05-15,Home Care,North,Supplier C,5263.851701073934,4.171072386995105,2.440363342376254,9253.743856742338,3536.512176083146,6139.246311718818,0.0,78.49890001219757,0.5760498922046053,0
2024-11-20,Snacks,West,Supplier E,3475.584661879023,21.89149221880556,32.596686021776755,8630.876070530594,1872.4270832115453,3370.1947322080355,0.0,138.28377320403484,0.5555842412657253,1
2025-02-04,Snacks,East,Supplier E,6219.503568712245,4.768515013999788,2.4517993177474446,9970.82843152097,5018.692825591861,5737.615427416052,0.8350927337056038,59.60214409224236,0.8747001065305,1
2024-07-30,Snacks,East,Supplier A,6036.201832131722,4.987987926700537,3.547287910227163,8966.288316558263,4910.898216892896,6197.736645822979,0.0,54.773818885404594,0.7923696177382175,0
2025-01-22,Home Care,West,Supplier D,5587.1376842128475,5.048280280399407,3.3138523787408527,6984.1956798804495,4689.493126906857,6259.7152052570955,0.0,44.679854458943346,0.749154390118017,0
2024-08-03,Home Care,Central,Supplier C,3871.5263702524535,4.570392556041876,3.679450757369769,9874.674136726535,4886.217053066681,5358.068058996715,0.0,60.627725065113545,0.9119363545340282,0
2024-04-11,Personal Care,Central,Supplier D,4026.8846397786797,5.200239573461479,3.0124342420081485,9278.324009867023,3788.3764337424527,6488.272237576904,0.0,73.47467316521004,0.5838806226104426,0
2025-02-13,Food,East,Supplier E,3122.557114763891,5.008279274333434,2.5906179463944894,7041.071274028912,5306.860828096005,7028.225665327995,0.0,39.80359483002557,0.7550783200198145,0
2024-09-04,Beverages,South,Supplier E,5460.329873179814,4.352427004425601,2.353673737920375,9185.022002427568,5462.573916092104,5955.952154668727,0.0,50.443374186862165,0.9171621554767064,0
2024-12-20,Snacks,Central,Supplier E,3650.4511518256304,4.201809375578736,2.409210332713537,7639.144951735878,3720.226154697203,5914.402295647985,0.0,61.60226261049157,0.6290113470019904,0
