date,main_category,product_name,region,supplier,order_quantity,lead_time_days,transport_time_days,inventory_level,demand_forecast,production_capacity,supplier_performance,quality_score,market_growth,competitor_activity,worker_availability,weather_impact,political_stability,inventory_coverage_days,capacity_utilization,supply_demand_ratio,true_anomaly,anomaly_type
2024-11-29,Beverages,PowerCharge Berry Blast,Central,AquaPure Sources,3891.0033067890763,5.34190502126547,3.131540400856111,10236.752471338074,4663.073609942906,5771.739119115945,86.18437277089988,99.39940379943596,2.9601933517654917,40.14711159170752,89.38704389072755,0.0,90.0,65.85840152411885,0.8079148266592387,2.1952800508039614,0,normal
2024-06-27,Baby Products,Baby Powder,North,SafeNest Infant Care,3942.6671828252697,3.1876654162292777,2.959971125732955,8786.400645158954,4951.568408945427,5530.259385936073,75.91808358706763,93.6141094522449,3.8211665357924813,41.47668744930375,82.25378650785548,0.0,90.0,53.23404577801396,0.89535916191159,1.7744681926004653,0,normal
2025-01-26,Personal Care,Coconut Oil Body Lotion,South,Fresh&Clean Co.,4753.249337901125,7.102436676981839,2.080693611752152,8131.432885162627,4800.274202413855,6249.6811232184555,75.07957974682503,98.0526933550912,1.7516725516620908,30.983801395772343,94.04993873048676,0.0,90.0,50.81855249689907,0.7680830602028882,1.6939517498966357,0,normal
2025-02-01,Food,Whole Grain Bread,South,QualityConserve Foods,5393.887594810579,5.187931652271149,2.870012005665883,10448.063749943449,2921.9233899119326,5724.309833386732,80.28195202577642,97.85746538145389,1.3599342163994765,39.11812261152532,92.00232227774671,0.0,90.0,107.27246086617988,0.5104411667010004,3.5757486955393296,0,normal
2024-12-10,Home Care,Antibacterial Floor Cleaner,West,ShineSmart Products,6215.321574678079,6.659095520919723,2.666845439025457,5617.186457411674,4872.026061841901,6307.096078120992,95.66894618647257,96.5057592741215,2.4541618495101982,42.19454735244327,97.9344792179416,0.0,90.0,34.58840153630907,0.7724673925204216,1.152946717876969,0,normal
2024-05-14,Beverages,PowerCharge Berry Blast,West,EnergyFuel Inc.,6238.2379406464315,5.333012047116258,3.160688159540728,9628.847574315938,5754.295262128877,5407.538396551169,85.47167073263378,92.91374103699852,1.6438716371601787,37.65029545320261,93.84511172891868,0.0,90.0,50.199966124541305,1.0641247163032375,1.6733322041513767,0,normal
2025-01-07,Personal Care,Coconut Oil Body Lotion,North,PersonalCare Manufacturers,6512.016000005722,6.642024215044945,3.5176673433461056,6834.736778163896,3283.984590012138,6009.20231170973,87.39432021391225,93.68960736727168,1.2242018305846931,54.22391615020577,87.55019865510066,0.0,90.0,62.43698705789573,0.5464925991279836,2.0812329019298574,0,normal
2024-09-05,Pet Care,Dog Food,West,PetHealth Distributors,2815.5683537563573,5.897757898715156,2.696129929916972,7623.8728523325035,4957.935775977273,5952.744651960081,91.85964933413626,75.97133870788868,3.6046247080549465,68.40995945077654,85.08232477026938,0.0,90.0,46.13133285795583,0.8328823199807095,1.5377110952651942,1,quality_issue
2024-12-28,Food,Instant Noodles,West,PantryGoods Inc.,5896.974438620475,6.119790350740187,3.0021704325247613,8476.143795721024,4216.139252401552,6956.572528236506,81.50989734035296,93.51997114977723,2.183723951877671,63.901435398772456,92.01036713373674,0.0,90.0,60.312124113734626,0.6060655926878326,2.0104041371244876,0,normal
2024-05-02,Food,Instant Noodles,West,PantryGoods Inc.,5133.257233861278,4.919434201687629,3.089532714636692,8462.818853958825,3559.3868044089995,6967.623701521563,71.31637019210865,88.37491549127421,0.6534833119745398,56.60376370433603,87.69907004087712,0.0,90.0,71.32817520823498,0.5108465894379047,2.3776058402744993,0,normal
